Round,Target Node,Vulnerability,Outcome
0,34,0.98,Successful
1,34,0.98,Successful
2,34,0.98,Successful
3,34,0.98,Successful
4,34,0.98,Successful
5,34,0.98,Successful
6,34,0.98,Successful
7,34,0.98,Successful
8,34,0.98,Successful
9,34,0.98,Successful
10,34,0.98,Successful
11,34,0.98,Successful
12,34,0.98,Successful
13,34,0.98,Successful
14,34,0.98,Successful
15,34,0.98,Successful
16,34,0.98,Successful
17,34,0.98,Successful
18,34,0.98,Successful
19,34,0.98,Successful
20,34,0.98,Successful
21,34,0.98,Successful
22,34,0.98,Successful
23,34,0.98,Successful
24,34,0.98,Successful
25,34,0.98,Successful
26,34,0.98,Successful
27,34,0.98,Successful
28,34,0.98,Successful
29,34,0.98,Successful
30,34,0.98,Successful
31,34,0.98,Successful
32,34,0.98,Successful
33,34,0.98,Successful
34,34,0.98,Successful
35,34,0.98,Successful
36,34,0.98,Successful
37,34,0.98,Successful
38,34,0.98,Successful
39,34,0.98,Successful
40,34,0.98,Successful
41,34,0.98,Successful
42,34,0.98,Successful
43,34,0.98,Successful
44,34,0.98,Successful
45,34,0.98,Successful
46,34,0.98,Successful
47,34,0.98,Successful
48,34,0.98,Successful
49,34,0.98,Successful
50,34,0.98,Successful
51,34,0.98,Successful
52,34,0.98,Successful
53,34,0.98,Successful
54,34,0.98,Successful
55,34,0.98,Successful
56,34,0.98,Successful
57,34,0.98,Successful
58,34,0.98,Successful
59,34,0.98,Detected
60,34,0.98,Successful
61,34,0.98,Successful
62,34,0.98,Successful
63,34,0.98,Successful
64,34,0.98,Successful
65,34,0.98,Successful
66,34,0.98,Successful
67,34,0.98,Successful
68,34,0.98,Successful
69,34,0.98,Successful
70,34,0.98,Successful
71,34,0.98,Successful
72,34,0.98,Successful
73,34,0.98,Successful
74,34,0.98,Successful
75,34,0.98,Successful
76,34,0.98,Successful
77,34,0.98,Successful
78,34,0.98,Successful
79,34,0.98,Successful
80,34,0.98,Successful
81,34,0.98,Successful
82,34,0.98,Successful
83,34,0.98,Successful
84,34,0.98,Successful
85,34,0.98,Successful
86,34,0.98,Successful
87,34,0.98,Successful
88,34,0.98,Successful
89,34,0.98,Successful
90,34,0.98,Successful
91,34,0.98,Successful
92,34,0.98,Successful
93,34,0.98,Successful
94,34,0.98,Successful
95,34,0.98,Successful
96,34,0.98,Successful
97,34,0.98,Successful
98,34,0.98,Successful
99,34,0.98,Successful
