Round,Average Risk,Compromised Ratio,Protected Nodes,Infected Nodes
1,0.561,0.2,0,9
2,0.566,0.28,0,12
3,0.571,0.38,0,16
4,0.574,0.38,0,16
5,0.578,0.48,0,20
6,0.583,0.52,0,22
7,0.588,0.6,0,26
8,0.592,0.7,0,31
9,0.597,0.8,0,36
10,0.596,0.84,0,38
11,0.601,0.88,0,40
12,0.606,0.96,0,44
13,0.611,0.98,0,44
14,0.615,0.98,0,44
15,0.634,0.98,0,41
16,0.639,0.98,0,41
17,0.64,0.96,0,40
18,0.645,0.98,0,41
19,0.648,0.94,0,38
20,0.648,0.98,0,40
21,0.653,0.98,0,40
22,0.655,0.98,0,39
23,0.658,0.96,0,37
24,0.663,0.96,0,36
25,0.662,0.94,0,35
26,0.666,0.92,0,34
27,0.67,0.96,0,36
28,0.673,0.92,0,34
29,0.677,0.92,0,33
30,0.697,0.94,0,31
31,0.701,0.96,0,31
32,0.701,0.96,0,31
33,0.701,0.96,0,31
34,0.706,0.96,0,31
35,0.704,0.94,0,30
36,0.704,0.94,0,30
37,0.705,0.96,0,31
38,0.705,0.96,0,31
39,0.71,0.96,0,31
40,0.707,0.92,0,29
41,0.708,0.92,0,29
42,0.712,0.96,0,31
43,0.717,0.96,0,30
44,0.722,0.98,0,30
45,0.73,0.98,0,30
46,0.735,0.98,0,30
47,0.738,0.96,0,28
48,0.738,0.96,0,28
49,0.737,0.96,0,28
50,0.737,1.0,0,30
51,0.739,0.98,0,29
52,0.744,1.0,0,29
53,0.749,1.0,0,28
54,0.753,0.98,0,26
55,0.753,1.0,0,27
56,0.753,1.0,0,27
57,0.756,1.0,0,27
58,0.756,1.0,0,27
59,0.76,0.98,0,25
60,0.772,1.0,0,25
61,0.777,1.0,0,24
62,0.782,0.98,0,22
63,0.782,0.98,0,22
64,0.782,1.0,0,23
65,0.782,1.0,0,23
66,0.785,1.0,0,23
67,0.79,1.0,0,22
68,0.795,1.0,0,22
69,0.8,1.0,0,22
70,0.8,1.0,0,22
71,0.802,0.98,0,20
72,0.803,0.98,0,20
73,0.808,0.98,0,19
74,0.813,0.98,0,19
75,0.819,0.98,0,18
76,0.82,0.98,0,18
77,0.82,0.96,0,17
78,0.82,0.96,0,17
79,0.819,0.98,0,18
80,0.819,0.98,0,18
81,0.824,0.98,0,17
82,0.824,0.98,0,17
83,0.824,0.98,0,17
84,0.829,0.98,0,16
85,0.829,0.98,0,16
86,0.829,0.98,0,16
87,0.834,0.98,0,16
88,0.836,0.98,0,16
89,0.838,0.96,0,15
90,0.843,0.98,0,16
91,0.842,0.96,0,15
92,0.843,0.94,0,14
93,0.848,0.94,0,13
94,0.851,0.96,0,14
95,0.85,0.96,0,14
96,0.85,0.96,0,14
97,0.855,0.96,0,13
98,0.855,1.0,0,15
99,0.859,0.98,0,13
100,0.859,0.98,0,13
